Canal;Tiempo_Total;Cantidad
GCS Web;15734842.632222312;156931
App BA 147;14118431.822500063;145240
Comuna;242813.46944444408;2375
Operador UGIS;4403750.330000029;45676
Mail 147;82525.78305555551;522
App Denuncia Vial;4016659.452222259;55650
Boti;2398605.739722226;30228
Operador GCBA;176001.04194444467;898
Call Center;44983.77472222224;260
Cercania;16919.803611111107;40
Operador FIXIT;6577.154166666668;59
